id,visit_date_time
140,"2023-04-24 13:30:57.739835"
141,"2023-04-24 13:31:00.575472"
142,"2023-04-24 13:31:08.606258"
143,"2023-04-24 13:31:11.440060"
144,"2023-04-24 13:31:15.125497"
145,"2023-04-24 13:31:19.386525"
146,"2023-04-24 13:31:22.322625"
147,"2023-04-24 13:31:26.497635"
148,"2023-04-24 13:31:42.091997"
149,"2023-04-24 13:33:05.595465"
150,"2023-04-24 13:33:12.554713"
151,"2023-04-24 13:33:17.057134"
152,"2023-04-24 13:33:19.827155"
153,"2023-04-24 14:17:13.377688"
154,"2023-04-24 14:34:39.452933"
155,"2023-04-24 14:55:45.247049"
156,"2023-04-24 14:56:09.661340"
157,"2023-04-24 15:00:05.732605"
158,"2023-04-24 15:08:50.316158"
159,"2023-04-24 15:10:14.000594"
160,"2023-04-24 15:10:18.361066"
161,"2023-04-24 15:24:30.132529"
162,"2023-04-24 15:32:07.842678"
163,"2023-04-24 15:32:16.993958"
164,"2023-04-24 15:32:18.956331"
165,"2023-04-24 15:32:21.631885"
166,"2023-04-24 15:36:56.781156"
167,"2023-04-24 15:37:07.880750"
168,"2023-04-24 15:38:09.301131"
169,"2023-04-24 15:45:48.959958"
170,"2023-04-24 15:45:53.717729"
171,"2023-04-24 15:46:17.093621"
172,"2023-04-24 15:55:59.117685"
173,"2023-04-24 15:58:37.931209"
174,"2023-04-24 15:58:41.300096"
175,"2023-04-24 15:58:46.901430"
176,"2023-04-24 16:08:50.147982"
177,"2023-04-24 16:08:56.700911"
178,"2023-04-24 16:33:53.546054"
179,"2023-04-24 16:55:29.305168"
180,"2023-04-24 17:12:57.940200"
181,"2023-04-24 17:13:00.862089"
182,"2023-04-24 17:13:12.943922"
183,"2023-04-24 17:15:40.783004"
184,"2023-04-24 17:15:52.415621"
185,"2023-04-24 17:16:05.179201"
186,"2023-04-24 17:38:20.301881"
187,"2023-04-24 17:41:06.797254"
188,"2023-04-24 17:45:53.118739"
189,"2023-04-25 11:27:25.971848"
190,"2023-04-25 11:42:24.790050"
191,"2023-04-25 11:42:28.550794"
192,"2023-04-25 13:03:05.915982"
193,"2023-04-25 13:03:11.937278"
194,"2023-04-25 13:03:30.409877"
195,"2023-04-25 13:13:42.593345"
196,"2023-04-25 13:13:46.750731"
197,"2023-04-25 13:27:35.743313"
198,"2023-04-25 13:28:00.908397"
199,"2023-04-25 13:28:09.703073"
200,"2023-04-25 13:45:22.631421"
201,"2023-04-25 13:45:36.328136"
202,"2023-04-25 13:58:20.970438"
203,"2023-04-25 14:59:53.060196"
204,"2023-04-25 15:00:07.150061"
205,"2023-04-25 15:01:21.164444"
206,"2023-04-25 15:20:34.863871"
207,"2023-04-25 15:28:23.706313"
208,"2023-04-25 15:28:34.382226"
209,"2023-04-25 15:33:30.822696"
210,"2023-04-25 15:46:14.441903"
211,"2023-04-25 15:47:31.157708"
212,"2023-04-25 15:48:42.839122"
213,"2023-04-25 15:49:51.603414"
214,"2023-04-25 15:50:53.230335"
215,"2023-04-25 15:53:02.818431"
216,"2023-04-25 15:58:07.638959"
217,"2023-04-25 16:00:33.357917"
218,"2023-04-25 16:02:12.755827"
219,"2023-04-25 16:03:23.103110"
220,"2023-04-25 16:03:26.877012"
221,"2023-04-25 16:03:28.954146"
222,"2023-04-25 16:03:46.020695"
223,"2023-04-25 16:05:17.907138"
224,"2023-04-25 16:05:54.909396"
225,"2023-04-25 16:05:55.867549"
226,"2023-04-25 16:05:58.303714"
227,"2023-04-25 16:06:00.196335"
228,"2023-04-25 16:06:02.418430"
229,"2023-04-25 16:06:21.623445"
230,"2023-04-25 16:10:02.999704"
231,"2023-04-25 16:10:04.109087"
232,"2023-04-25 16:10:11.474999"
233,"2023-04-25 16:10:43.788809"
